,Product,Quantity,Price,Grocery Store,Neighborhood,City
0,1,1.0,390.0,1,15,3
1,1,1.0,69.9,1,9,1
2,1,1.0,200.0,1,13,3
3,1,1.0,280.0,1,11,3
4,1,1.0,306.6666666666667,1,14,3
5,1,1.0,384.6153846153846,1,12,3
6,1,1.0,69.9,1,8,1
7,1,1.0,86.0,1,8,1
8,1,1.0,72.4,1,8,1
9,1,1.0,60.0,1,7,1
10,1,1.0,69.0,1,8,1
11,1,1.0,50.0,1,2,1
12,1,1.0,84.0,1,2,1
13,1,1.0,120.0,1,7,1
14,1,1.0,69.9,1,7,1
15,1,1.0,80.0,2,7,1
16,1,1.0,69.0,2,1,1
17,1,1.0,99.0,2,9,1
18,1,1.0,98.7,2,3,1
19,1,1.0,54.0,2,8,1
20,1,1.0,159.0,2,7,1
21,1,1.0,137.63470255207324,3,10,2
22,1,1.0,273.9025379636325,3,10,2
23,1,1.0,74.99,4,1,1
26,1,1.0,79.99,4,1,1
27,1,1.0,69.99,4,1,1
28,1,1.0,79.99,4,7,1
29,1,1.0,54.0,4,3,1
30,1,1.0,73.99,4,6,1
31,1,1.0,159.0,4,7,1
32,1,1.0,80.0,4,6,1
33,1,1.0,75.0,4,4,1
34,1,1.0,79.99,4,8,1
35,1,1.0,330.0,5,5,3
36,1,1.0,1380.0,5,5,3
37,1,1.0,180.95238095238096,5,11,3
38,1,1.0,230.0,5,15,3
39,1,1.0,460.0,5,5,3
40,1,1.0,227.27272727272728,1,15,3
41,1,1.0,86.0,1,9,1
42,1,1.0,153.84615384615384,1,13,3
43,1,1.0,406.89655172413796,1,11,3
44,1,1.0,493.33333333333337,1,14,3
45,1,1.0,226.5625,1,12,3
46,1,1.0,86.0,1,8,1
47,1,1.0,69.0,1,8,1
48,1,1.0,76.0,1,8,1
50,1,1.0,50.0,1,8,1
51,1,1.0,89.9,1,2,1
52,1,1.0,69.0,1,2,1
53,1,1.0,86.0,1,7,1
56,1,1.0,89.0,2,1,1
58,1,1.0,54.0,2,3,1
59,1,1.0,98.0,2,8,1
60,1,1.0,54.0,2,7,1
61,1,1.0,320.7067144041341,3,10,2
62,1,1.0,342.7309123617701,3,10,2
69,1,1.0,70.0,4,3,1
71,1,1.0,54.0,4,7,1
73,1,1.0,74.0,4,4,1
74,1,1.0,99.99,4,8,1
75,1,1.0,345.0,5,5,3
76,1,1.0,349.99999999999994,5,5,3
77,1,1.0,316.1290322580645,5,11,3
78,1,1.0,260.0,5,15,3
79,1,1.0,593.3333333333334,5,5,3
80,1,1.0,176.47058823529412,1,15,3
81,1,1.0,50.0,1,9,1
82,1,1.0,222.85714285714286,1,13,3
83,1,1.0,130.0,1,11,3
84,1,1.0,520.0,1,14,3
85,1,1.0,325.0,1,12,3
86,1,1.0,120.0,1,8,1
87,1,1.0,50.0,1,8,1
91,1,1.0,86.0,1,2,1
93,1,1.0,69.9,1,7,1
96,1,1.0,159.0,2,1,1
98,1,1.0,72.0,2,3,1
101,1,1.0,342.7309123617701,3,10,2
102,1,1.0,275.2914513483483,3,10,2
109,1,1.0,51.0,4,3,1
115,1,1.0,398.33333333333337,5,5,3
116,1,1.0,211.11111111111111,5,5,3
117,1,1.0,265.38461538461536,5,11,3
118,1,1.0,349.99999999999994,5,15,3
119,1,1.0,115.0,5,5,3
120,2,1.0,100.0,1,15,3
121,2,1.0,94.9,1,9,1
122,2,1.0,100.0,1,13,3
123,2,1.0,130.0,1,11,3
124,2,1.0,100.0,1,14,3
125,2,1.0,99.09909909909909,1,12,3
126,2,1.0,94.9,1,8,1
127,2,1.0,94.0,1,8,1
128,2,1.0,102.1,1,8,1
129,2,1.0,99.0,1,7,1
130,2,1.0,94.9,1,8,1
131,2,1.0,94.9,1,2,1
132,2,1.0,94.0,1,2,1
133,2,1.0,94.9,1,7,1
134,2,1.0,94.9,1,7,1
135,2,1.0,84.0,2,7,1
136,2,1.0,84.0,2,1,1
137,2,1.0,99.0,2,9,1
138,2,1.0,84.0,2,3,1
139,2,1.0,84.0,2,8,1
140,2,1.0,84.0,2,7,1
141,2,1.0,108.7320764034639,3,10,2
142,2,1.0,108.7320764034639,3,10,2
146,2,1.0,94.99,4,1,1
147,2,1.0,94.99,4,1,1
148,2,1.0,95.0,4,7,1
149,2,1.0,84.0,4,3,1
150,2,1.0,101.49,4,6,1
151,2,1.0,99.0,4,7,1
152,2,1.0,95.0,4,6,1
153,2,1.0,93.0,4,4,1
154,2,1.0,75.99,4,8,1
155,2,1.0,142.85714285714283,5,5,3
156,2,1.0,98.0,5,5,3
157,2,1.0,140.0,5,11,3
158,2,1.0,140.0,5,15,3
159,2,1.0,140.0,5,5,3
160,2,1.0,138.0,1,15,3
162,2,1.0,186.66666666666669,1,13,3
163,2,1.0,178.0,1,11,3
164,2,1.0,118.0,1,14,3
165,2,1.0,118.0,1,12,3
178,2,1.0,92.0,2,3,1
181,2,1.0,136.2678354115593,3,10,2
182,2,1.0,136.2678354115593,3,10,2
189,2,1.0,70.0,4,3,1
193,2,1.0,95.0,4,4,1
196,2,1.0,193.33333333333334,5,5,3
199,2,1.0,196.66666666666669,5,5,3
200,2,1.0,118.0,1,15,3
202,2,1.0,150.0,1,13,3
218,2,1.0,84.0,2,3,1
221,2,1.0,136.2678354115593,3,10,2
229,2,1.0,92.0,4,3,1
236,2,1.0,140.0,5,5,3
240,10,1.0,130.0,1,15,3
241,10,1.0,84.9,1,9,1
242,10,1.0,1380.0,1,13,3
243,10,1.0,236.0,1,11,3
244,10,1.0,196.66666666666669,1,14,3
245,10,1.0,236.0,1,12,3
246,10,1.0,84.9,1,8,1
247,10,1.0,84.9,1,8,1
248,10,1.0,91.4,1,8,1
249,10,1.0,110.0,1,7,1
250,10,1.0,30.0,1,8,1
251,10,1.0,84.9,1,2,1
253,10,1.0,84.9,1,7,1
254,10,1.0,84.9,1,7,1
255,10,1.0,99.0,2,7,1
256,10,1.0,99.0,2,1,1
257,10,1.0,109.0,2,9,1
258,10,1.0,110.0,2,3,1
259,10,1.0,110.0,2,8,1
260,10,1.0,110.0,2,7,1
261,10,1.0,549.1939893119809,3,10,2
262,10,1.0,328.9740559798233,3,10,2
263,10,1.0,92.99,4,1,1
266,10,1.0,92.99,4,1,1
267,10,1.0,95.99,4,1,1
268,10,1.0,87.0,4,7,1
269,10,1.0,109.0,4,3,1
270,10,1.0,92.99,4,6,1
271,10,1.0,109.0,4,7,1
272,10,1.0,16.0,4,6,1
273,10,1.0,15.0,4,4,1
274,10,1.0,95.99,4,8,1
